OBJECTID,OBJECTID,tract,ACS2019TotalPop,CIscore,CIscoreP,CIdecile,CIvigintile,ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,drink,drinkP,lead,leadP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,ling,lingP,pov,povP,unemp,unempP,housingB,housingBP,PopChar,PopCharScore,PopCharP,Children_under10,Children_under10.pct,Pop.10_64.years,Pop.10_64.years.pct,Elderly_65over,Elderly_65over.pct,Hispanic,Hispanic.pct,White,White.pct,African.American,African.American.pct,Native.American,Native.American.pct,Asian.American,Asian.American.pct,Other.Multiple,Other.Multiple.pct,Shape__Area,Shape__Length,Tract (Text)
11,,6011000300,5963,27.4424171159204,53.8703983862834,6,11,0.04356722,32.1717485998755,6.812457373,6.13565650280025,0.019414561,7.06907280647169,688.3805764,87,0.978438333,4.28857214303576,176.4637213,3.3,217.2626013,8.6174597227426,49.63074306,51.1027095148078,4,37.5513251213139,22.5,71.6918479163208,0.25,43.2958305757776,13,91.8731625367493,7,83.2760595647194,38.4863166551365,4.69917161908029,38.8301182327318,37.67,37.524925224327,5.81,71.2599435463177,17.39,77.9910269192423,33.4,83.9028094153379,10.4,63.2967925294356,40.4,69.7236180904523,2.7,13.1832378969287,11.7,21.5716096324461,56.2971227047746,5.83984143173117,59.9974785678265,1020,17.11,4276,71.71,667,11.19,4441,74.48,1203,20.17,9,0.15,72,1.21,192,3.22,46,0.77,952941141.324825,162413.415579354,6011000300
12,,6011000100,5647,33.4077092940128,64.8134140191629,7,13,0.04468246,37.6104542626011,7.775335702,11.4996888612321,0.040126805,14.4741754822651,1301.148485,90.7586206896552,48.44593303,17.854463615904,135.0264603,2.05,572.0881667,66.9788934682153,51.38262982,53.3711405166982,7,50.3172825681224,25,74.8298190270629,0.4,61.5751158173395,10,82.9693406131877,8,86.5063001145475,48.2963102840649,5.89696989261984,65.9614187927816,42.49,45.376370887338,3.59,17.9753656658968,17.36,77.7666999002991,37.7,88.0283472538598,14.1,74.7597780484504,31.5,56.2185929648241,7.5,71.6684018740239,11.4,20.2661596958175,54.6138673926199,5.6652331455555,57.0347957639939,811,14.36,4114,72.85,722,12.79,3707,65.65,1788,31.66,0,0,11,0.19,12,0.21,129,2.28,567378183.381606,132043.284778202,6011000100
13,,6103000500,5130,32.5344256666181,63.3761976802824,7,13,0.05067132,63.2856253889235,6.201099697,3.98257622899813,0.120806764,43.6465463596764,0.614877932,39.9310344827586,0.235609667,3.27581895473868,436.8505472,16.4625,392.8300255,42.6751592356688,55.9609002,59.9495904221802,25,86.1888764464352,18,65.3162875643367,0.025,3.63997352746525,2,23.8765224695506,2,52.8980526918671,38.2287184360557,4.66771892769709,38.070939639079,83.49,87.1635094715852,5.13,55.8506543494996,25.68,98.018444666002,15.5,56.4793723108074,0,0,48.5,80.2763819095477,7.6,72.5273295158771,19.5,60.9252217997465,67.1929319681124,6.97009099531826,76.2228946041351,509,9.92,3795,73.98,826,16.1,523,10.19,4025,78.46,111,2.16,35,0.68,208,4.05,228,4.44,8693772.73908234,14908.7264935771,6103000500
14,,6103000600,5645,27.3458856949192,53.6434694906707,6,11,0.05116215,64.7293092719353,6.794779524,6.0360920970753,0.086420633,32.2588674548849,2016.169575,92.7931034482759,0.210856667,3.1132783195799,709.3046323,36.8625,520.0662222,62.3579368052954,59.84097962,65.5324511657215,7.7,51.9783501306458,0.75,4.41640378548896,0.025,3.63997352746525,5,51.2179756404872,0,0,37.7238084191698,4.60606951492527,36.4903546981954,83.49,87.1635094715852,2.12,2.38645111624326,25.68,98.018444666002,10.2,42.6600860541635,0.5,1.81350656381107,51.8,83.8693467336683,5.8,55.0234252993233,23.7,76.3498098859316,57.2330183293282,5.93692422711142,61.2581946545638,823,14.58,3713,65.78,1109,19.65,1326,23.49,4002,70.89,108,1.91,28,0.5,45,0.8,136,2.41,14204997.2604904,19083.7923506306,6103000600
15,,6103000200,7692,13.8220168142512,22.528996469995,3,5,0.04910169,58.3447417548226,8.389224832,20.0497822028625,0.014339201,5.30180460485376,197.7874662,80.5172413793103,0.698927667,3.98849712428107,455.5088846,17.7,369.1295529,38.3539403022355,28.12449259,21.650913673598,0,0,4,26.1663622779346,0,0,4,43.7841243175137,0,0,25.1556091931935,3.07149488584675,8.8985687616677,37.11,36.6276171485543,1.7,1.09058249935848,14.86,65.3913260219342,15.9,57.5170842824601,2.5,19.8673704154825,40.1,69.3467336683417,8.4,77.7589796980739,14.8,37.4778200253485,43.3817197539452,4.50009436054809,40.2546646495209,979,12.73,5193,67.51,1520,19.76,1293,16.81,5876,76.39,48,0.62,248,3.22,137,1.78,90,1.17,249964257.727146,89578.1218747348,6103000200
16,,6103000800,4315,30.1549097710609,59.0267271810388,6,12,0.04987653,60.9583074051027,7.281784545,8.25140012445551,0.075903673,28.462974486621,2163.540138,93.3103448275862,0.1257395,2.78819704926232,581.8964392,26.9625,367.9393837,38.241538653678,39.13113296,35.8160050409578,0,0,11.3,50.2739498588743,0.345,55.4202514890801,6,58.6938261234775,0,0,35.5251407970674,4.33761263498648,30.4418170504045,76.53,83.1256231306082,4.82,47.395432383885,18.14,81.2063808574277,25.9,74.8038471273095,11.4,66.8561375016917,38.7,67.1733668341708,6.9,66.6059344091619,15.6,41.8631178707224,67.0181464362925,6.9519600546707,75.9581442259203,411,9.52,3145,72.89,759,17.59,1642,38.05,2312,53.58,0,0,195,4.52,0,0,166,3.85,132943847.748154,66542.8391026195,6103000800
17,,6103000700,7724,33.7656701002375,65.4563792233989,7,14,0.05022962,62.5264467952707,6.298421979,4.26882389545737,0.136104545,47.4922215308027,14.94771582,63.1034482758621,0.243847333,3.31332833208302,505.425398,21.25,384.5891394,40.4521044086424,57.51518352,62.2432262129805,9.5,59.6304591265398,1.45,7.67059604848082,0.4,61.5751158173395,5,51.2179756404872,5.1,75.9450171821306,42.4567442085901,5.18396003471355,49.9315494710641,83.49,87.1635094715852,3.9,24.3135745445214,25.68,98.018444666002,8.8,37.2817008352316,0,0,64,94.3341708542714,16.7,98.1129619989589,17,49.0240811153359,62.7912129273979,6.51348966313998,69.8814926878467,1374,17.79,5104,66.08,1246,16.13,1422,18.41,5831,75.49,19,0.25,66,0.85,151,1.95,235,3.04,13570304.5928421,22757.5355624059,6103000700
18,,6103000900,3375,21.0466301958238,40.052950075643,5,9,0.0482775,55.3827006845053,7.24487103,8.06471686372122,0.026439044,9.29682638456752,1112.389012,89.6896551724138,0.489452933,3.72593148287072,242.0206913,5.6375,520.042056,62.3454477332334,49.43395682,50.8632640201638,4,37.5513251213139,3.75,25.0871658641873,0,0,5,51.2179756404872,2,52.8980526918671,34.86747148298,4.25731134236883,28.6869943995022,48.08,53.6390827517448,4.41,36.1431870669746,14.49,63.3973080757727,17.8,61.0984560870666,1.4,10.4479631885235,46.3,77.8140703517588,5.6,52.5247267048412,11.2,19.3916349809886,47.6576147803999,4.94364365283023,46.7221381744831,506,14.99,2064,61.16,805,23.85,897,26.58,2372,70.28,0,0,24,0.71,32,0.95,50,1.48,275306055.290129,88510.2894625587,6103000900
19,,6103000300,4433,26.405598844113,51.6515380736258,6,11,0.04740619,50.5787181082763,4.737056919,0.858742999377722,0.001160605,0.398257622899813,10.18902287,60.448275862069,0.227622667,3.21330332583146,25.57808372,0.0625,536.2365003,63.6568002997377,36.90314246,33.0812854442344,6,46.080627099664,12.2,52.1666943383696,0.1,16.6379880873594,5,51.2179756404872,9.25,89.2783505154639,34.7169326839585,4.23893058490972,28.3385189794648,59.28,68.369890329013,5.6,66.8334616371568,18.32,81.9666001994018,21.9,68.0334092634776,3.5,28.0416835837055,42.5,72.7386934673367,4.1,32.274856845393,14.8,37.4778200253485,60.0516383461214,6.22930673555141,65.7085224407463,421,9.5,3002,67.72,1010,22.78,979,22.08,3179,71.71,30,0.68,28,0.63,43,0.97,174,3.93,3334506092.15995,324181.935280302,6103000300
20,,6103000100,4948,23.3994150340934,45.3857791225416,5,10,0.04955695,59.9377722464219,6.308366522,4.33105164903547,0.006855382,2.78780336029869,119.635973,78.2413793103448,0.1029691,2.57564391097774,73.71683377,0.625,404.2915763,43.8366429374298,48.57610321,49.5652173913044,2,25.625233296006,1.25,7.4381537439814,0.21,37.6836532097948,7,66.7366652666947,8.45,87.3081328751432,35.1444984599257,4.29113628122822,29.4710640945862,49.8,56.2686939182453,4.61,41.4677957403131,16.03,71.6600199401795,10.7,44.3432042520881,2.5,19.8673704154825,41.3,71.0929648241206,11.5,91.1244143675169,10.7,16.9201520912548,52.5675621948359,5.45296478614657,54.1477559253656,386,7.8,3489,70.51,1073,21.69,843,17.04,3752,75.83,8,0.16,57,1.15,45,0.91,243,4.91,3001242037.15222,297189.99617689,6103000100
